lane,evidence,source,provenance_type,evidence_grade,screening_implication,key_limitation
AOI normalization,"AOI normalized from user text to Athabasca Basin margin focus area: Wollaston Lake East / eastern Wollaston area, Saskatchewan. No polygon, claim id, or exact coordinate supplied.","GeoMine MCP normalize_aoi plus analyst normalization","MCP parsed object + analyst assumption","C for geometry; A for jurisdiction after source review","Usable as a regional screen, not as a tenure or drill-target boundary.","No authoritative AOI geometry; MCP did not geocode or infer province."
Geophysics / conductors,"Combined eastern Wollaston envelope returned 867 EM conductor features: 830 airborne EM and 37 ground EM; conductor types include VLF-EM, ZTEM, HLEM, MK VI, VTEM, VTEM+, and Input.","Saskatchewan GeoAtlas EM Conductors FeatureServer layer 7","Live ArcGIS REST query on 2026-05-09","A for conductor presence; D for mineralization inference","Strongly supports a conductor-focused uranium target lane because graphitic basement/shear conductors are relevant to Athabasca uranium targeting.","Layer cautions locations may be 200-300 m off; conductors are not mineralization."
Detailed EM maps,"NRCan/SGS 2023 eastern Wollaston EM map sheets include apparent conductivity, time-decay constant, magnetic field products, and interpretation at 1:50,000 scale.","Government of Canada Publications records M183-2/8966E-PDF and M183-2/8967E-PDF","Catalog metadata reviewed","A","Independent official support for detailed conductivity mapping in the exact eastern Wollaston area.","Maps need sheet-by-sheet interpretation and georeferenced extraction before target ranking."
Radioactive boulders,"Combined eastern Wollaston envelope returned 270 radioactive-boulder points; CPS range 0 to 22000, median 350; dominant assessment files include 64E11-0029 and 64E11-0027.","Saskatchewan GeoAtlas Radioactive Boulders FeatureServer layer 4","Live ArcGIS REST query on 2026-05-09","A for boulder records; B/C for source-vectoring","Adds a near-surface radioactivity/pathfinder lane that can prioritize conductor segments if glacial transport is understood.","No U3O8 assay values in queried attributes; boulder transport direction and source bedrock are unverified."
Uranium potential map,"The Saskatchewan Resource Map uranium potential layer intersects the focus envelope.","Saskatchewan GeoAtlas Resource Map Uranium Potential layer 11","Live ArcGIS REST query on 2026-05-09","B","Regional-scale official map supports uranium favourability at the area scale.","The queried polygon had null descriptive attributes; it is regional prospectivity, not target proof."
Known uranium deposits,"Uranium Deposit Footprints returned 0 overlapping records in the combined eastern Wollaston envelope.","Saskatchewan GeoAtlas Uranium Deposit Footprints layer 5","Live ArcGIS REST query on 2026-05-09","A","No known mapped uranium deposit footprint was confirmed inside the selected envelope.","Does not rule out occurrences or prospects outside the footprint layer, and does not replace SMDI/SMAD review."
Geochemistry / local analytical layer,"Live Saskatchewan Analytical and Rock Property Data query returned 0 overlapping records in the focus envelope; local lake-water staging files also contain 0 samples in the same envelope.","Saskatchewan Analytical and Rock Property Data FeatureServer layer 0; repo local SGS lake-water files","Live ArcGIS count + local file check","B for absence in checked layers","Geochemical evidence is currently a data gap for this exact focus envelope.","Absence from checked layer is not evidence of absence; other media and assessment reports may exist."
CDoGS lane,"CDoGS identifies relevant regional surveys around Wollaston/Athabasca: lake sediment/water survey over parts of NTS 64L/74I/74P; biogeochemical survey over NTS 64L/74I and small parts of 64E/74H; peat/soil/till/vegetation and groundwater/lake datasets mostly west/northwest of Wollaston Lake.","NRCan CDoGS survey metadata pages","Metadata review + MCP source planner","A for survey metadata; C for direct AOI fit","CDoGS is a priority lane for regional geochemical context and background thresholds, but not yet direct evidence for the eastern Wollaston conductor envelope.","Survey footprints mostly do not cover the selected eastern Wollaston EM-map envelope; analytical data were not downloaded/normalized."
Mineral occurrence / company context,"Nearby eastern Athabasca projects report basement-hosted uranium targeting, thin sandstone/no-cover settings, VTEM/ANT/gravity/conductor targets, alteration, and anomalous uranium drilling.","IsoEnergy East Rim and Geiger Energy Wollaston public pages","Company secondary/public technical context","B/C","Supports that the broader eastern margin/Wollaston corridor is actively explored using the same conductor-plus-basement uranium model.","Company pages are not official government occurrence data and require NI 43-101/assessment-report verification."
Infrastructure / access,"MCP infrastructure tool did not calculate distances and identified required inputs: authoritative AOI geometry, CRS, and infrastructure layers.","GeoMine MCP calculate_infrastructure_distance","MCP planner","D","Infrastructure should remain a separate GIS lane after AOI polygon is resolved.","No distance calculation performed."

